dataset,feature,required_paradigm,paradigm_present,extractable_locked_definition
ds003522,Global_Aperiodic_Exponent,rest,True,True
ds003522,Posterior_IAF,rest,True,True
ds003522,Frontal_Theta_Alpha_Ratio,rest,True,True
ds003522,Occipital_Relative_Alpha,rest,True,True
ds003522,P3b_Amplitude,oddball,True,True
ds003522,P3b_Latency,oddball,True,True
ds003522,P3a_Amplitude,oddball,True,True
ds003522,P3a_Latency,oddball,True,True
ds005114,Global_Aperiodic_Exponent,rest,False,False
ds005114,Posterior_IAF,rest,False,False
ds005114,Frontal_Theta_Alpha_Ratio,rest,False,False
ds005114,Occipital_Relative_Alpha,rest,False,False
ds005114,P3b_Amplitude,oddball,False,False
ds005114,P3b_Latency,oddball,False,False
ds005114,P3a_Amplitude,oddball,False,False
ds005114,P3a_Latency,oddball,False,False
ds003523,Global_Aperiodic_Exponent,rest,False,False
ds003523,Posterior_IAF,rest,False,False
ds003523,Frontal_Theta_Alpha_Ratio,rest,False,False
ds003523,Occipital_Relative_Alpha,rest,False,False
ds003523,P3b_Amplitude,oddball,False,False
ds003523,P3b_Latency,oddball,False,False
ds003523,P3a_Amplitude,oddball,False,False
ds003523,P3a_Latency,oddball,False,False
ds003490,Global_Aperiodic_Exponent,rest,True,True
ds003490,Posterior_IAF,rest,True,True
ds003490,Frontal_Theta_Alpha_Ratio,rest,True,True
ds003490,Occipital_Relative_Alpha,rest,True,True
ds003490,P3b_Amplitude,oddball,True,True
ds003490,P3b_Latency,oddball,True,True
ds003490,P3a_Amplitude,oddball,True,True
ds003490,P3a_Latency,oddball,True,True
