subject,rest_EC_n_blocks_used,rest_EC_n_seg_total,rest_EC_n_seg_kept,rest_EC_usable_s,rest_EC_iaf_posterior_hz,rest_EC_frontal_delta_abs,rest_EC_frontal_delta_rel,rest_EC_frontal_theta_abs,rest_EC_frontal_theta_rel,rest_EC_frontal_alpha_abs,rest_EC_frontal_alpha_rel,rest_EC_frontal_beta_abs,rest_EC_frontal_beta_rel,rest_EC_frontal_theta_alpha_ratio,rest_EC_frontal_spec_entropy,rest_EC_frontal_aper_offset,rest_EC_frontal_aper_exponent,rest_EC_frontal_aper_r2,rest_EC_central_delta_abs,rest_EC_central_delta_rel,rest_EC_central_theta_abs,rest_EC_central_theta_rel,rest_EC_central_alpha_abs,rest_EC_central_alpha_rel,rest_EC_central_beta_abs,rest_EC_central_beta_rel,rest_EC_central_theta_alpha_ratio,rest_EC_central_spec_entropy,rest_EC_central_aper_offset,rest_EC_central_aper_exponent,rest_EC_central_aper_r2,rest_EC_parietal_delta_abs,rest_EC_parietal_delta_rel,rest_EC_parietal_theta_abs,rest_EC_parietal_theta_rel,rest_EC_parietal_alpha_abs,rest_EC_parietal_alpha_rel,rest_EC_parietal_beta_abs,rest_EC_parietal_beta_rel,rest_EC_parietal_theta_alpha_ratio,rest_EC_parietal_spec_entropy,rest_EC_parietal_aper_offset,rest_EC_parietal_aper_exponent,rest_EC_parietal_aper_r2,rest_EC_occipital_delta_abs,rest_EC_occipital_delta_rel,rest_EC_occipital_theta_abs,rest_EC_occipital_theta_rel,rest_EC_occipital_alpha_abs,rest_EC_occipital_alpha_rel,rest_EC_occipital_beta_abs,rest_EC_occipital_beta_rel,rest_EC_occipital_theta_alpha_ratio,rest_EC_occipital_spec_entropy,rest_EC_occipital_aper_offset,rest_EC_occipital_aper_exponent,rest_EC_occipital_aper_r2,rest_EC_global_delta_abs,rest_EC_global_delta_rel,rest_EC_global_theta_abs,rest_EC_global_theta_rel,rest_EC_global_alpha_abs,rest_EC_global_alpha_rel,rest_EC_global_beta_abs,rest_EC_global_beta_rel,rest_EC_global_theta_alpha_ratio,rest_EC_global_spec_entropy,rest_EC_global_aper_offset,rest_EC_global_aper_exponent,rest_EC_global_aper_r2,rest_EO_n_blocks_used,rest_EO_n_seg_total,rest_EO_n_seg_kept,rest_EO_usable_s,rest_EO_iaf_posterior_hz,rest_EO_frontal_delta_abs,rest_EO_frontal_delta_rel,rest_EO_frontal_theta_abs,rest_EO_frontal_theta_rel,rest_EO_frontal_alpha_abs,rest_EO_frontal_alpha_rel,rest_EO_frontal_beta_abs,rest_EO_frontal_beta_rel,rest_EO_frontal_theta_alpha_ratio,rest_EO_frontal_spec_entropy,rest_EO_frontal_aper_offset,rest_EO_frontal_aper_exponent,rest_EO_frontal_aper_r2,rest_EO_central_delta_abs,rest_EO_central_delta_rel,rest_EO_central_theta_abs,rest_EO_central_theta_rel,rest_EO_central_alpha_abs,rest_EO_central_alpha_rel,rest_EO_central_beta_abs,rest_EO_central_beta_rel,rest_EO_central_theta_alpha_ratio,rest_EO_central_spec_entropy,rest_EO_central_aper_offset,rest_EO_central_aper_exponent,rest_EO_central_aper_r2,rest_EO_parietal_delta_abs,rest_EO_parietal_delta_rel,rest_EO_parietal_theta_abs,rest_EO_parietal_theta_rel,rest_EO_parietal_alpha_abs,rest_EO_parietal_alpha_rel,rest_EO_parietal_beta_abs,rest_EO_parietal_beta_rel,rest_EO_parietal_theta_alpha_ratio,rest_EO_parietal_spec_entropy,rest_EO_parietal_aper_offset,rest_EO_parietal_aper_exponent,rest_EO_parietal_aper_r2,rest_EO_occipital_delta_abs,rest_EO_occipital_delta_rel,rest_EO_occipital_theta_abs,rest_EO_occipital_theta_rel,rest_EO_occipital_alpha_abs,rest_EO_occipital_alpha_rel,rest_EO_occipital_beta_abs,rest_EO_occipital_beta_rel,rest_EO_occipital_theta_alpha_ratio,rest_EO_occipital_spec_entropy,rest_EO_occipital_aper_offset,rest_EO_occipital_aper_exponent,rest_EO_occipital_aper_r2,rest_EO_global_delta_abs,rest_EO_global_delta_rel,rest_EO_global_theta_abs,rest_EO_global_theta_rel,rest_EO_global_alpha_abs,rest_EO_global_alpha_rel,rest_EO_global_beta_abs,rest_EO_global_beta_rel,rest_EO_global_theta_alpha_ratio,rest_EO_global_spec_entropy,rest_EO_global_aper_offset,rest_EO_global_aper_exponent,rest_EO_global_aper_r2
sub-037,2,60,54,108.0,11.0,14.3309,0.37514,7.0724,0.18513,11.8355,0.30982,3.1053,0.08129,0.5976,0.7385,1.1332,1.4695,0.9964,5.4742,0.21891,5.4348,0.21733,9.6384,0.38543,3.0595,0.12235,0.5639,0.7972,0.7269,1.2245,0.9443,6.6266,0.17599,5.424,0.14405,20.3992,0.54177,3.4619,0.09194,0.2659,0.7395,0.8415,1.3561,0.9872,7.6379,0.20367,5.4754,0.14601,18.8144,0.50171,3.7243,0.09931,0.291,0.7589,0.8779,1.2517,0.9765,8.6744,0.26715,5.9501,0.18325,12.9852,0.39991,3.2135,0.09897,0.4582,0.7681,0.9287,1.3195,0.9731,2,60,43,86.0,10.5,9.3597,0.37784,6.1257,0.24729,4.3721,0.1765,3.1503,0.12718,1.4011,0.8023,0.8867,1.2721,0.9926,4.5377,0.22992,4.1206,0.20879,4.1955,0.21258,4.0471,0.20506,0.9822,0.8982,0.4541,0.832,0.9876,5.5612,0.25679,3.9942,0.18443,6.5206,0.30108,3.3336,0.15393,0.6125,0.8453,0.6297,1.0338,0.9901,6.0373,0.28334,4.3452,0.20393,6.1291,0.28765,2.9923,0.14043,0.7089,0.8289,0.7087,1.1351,0.99,6.376,0.29279,4.7575,0.21847,4.8193,0.22131,3.5347,0.16232,0.9872,0.8537,0.6491,1.0171,0.9908
sub-039,2,60,60,120.0,10.0,9.4779,0.42082,5.9689,0.26502,3.0245,0.13429,2.6859,0.11926,1.9735,0.7711,0.8876,1.3168,0.9955,5.6326,0.31753,4.7829,0.26963,2.6426,0.14897,3.1548,0.17785,1.81,0.8499,0.6099,1.1126,0.99,5.6411,0.29192,5.1475,0.26637,4.8835,0.25271,2.6011,0.1346,1.0541,0.8123,0.7487,1.3806,0.996,7.8093,0.25292,7.8744,0.25504,9.3875,0.30404,4.1529,0.1345,0.8388,0.807,0.9193,1.4069,0.9934,7.1075,0.33687,5.5912,0.265,3.9202,0.1858,3.0552,0.1448,1.4263,0.8176,0.7933,1.2525,0.997,2,60,48,96.0,9.5,42.1714,0.73229,6.9937,0.12144,2.9243,0.05078,3.3849,0.05878,2.3916,0.6081,1.6015,1.777,0.9593,8.2672,0.42863,4.172,0.2163,2.2465,0.11648,2.9504,0.15297,1.8571,0.8105,0.6779,1.1441,0.9835,10.6024,0.46589,4.2498,0.18674,4.5715,0.20088,2.279,0.10015,0.9296,0.7453,1.0393,1.5451,0.9966,15.8425,0.45357,6.6678,0.1909,7.7065,0.22064,3.192,0.09139,0.8652,0.7366,1.2293,1.6088,0.9978,20.1375,0.59756,5.3767,0.15955,3.4678,0.1029,3.022,0.08967,1.5505,0.6976,1.0594,1.3715,0.9826
sub-040,2,60,51,102.0,10.0,24.7231,0.48223,6.6673,0.13005,12.0036,0.23413,5.0043,0.09761,0.5554,0.7013,1.2099,1.3391,0.971,12.4727,0.309,6.6988,0.16596,12.9004,0.3196,5.7871,0.14337,0.5193,0.8063,1.0622,1.268,0.989,13.1854,0.19077,9.3847,0.13578,34.9793,0.5061,8.3192,0.12037,0.2683,0.7751,1.0918,1.2239,0.9915,12.8373,0.13602,10.9001,0.1155,55.6654,0.58983,10.3519,0.10969,0.1958,0.7495,1.0284,1.0567,0.9912,16.4468,0.30141,7.5918,0.13913,21.0706,0.38615,6.4692,0.11856,0.3603,0.7735,1.1344,1.2584,0.9889,2,60,43,86.0,11.0,19.9852,0.40275,6.5656,0.13231,5.1295,0.10337,10.4948,0.2115,1.28,0.8316,0.8907,0.8281,0.8768,12.7686,0.3313,6.352,0.16481,6.6734,0.17315,7.7795,0.20185,0.9518,0.8629,0.8585,0.9413,0.9788,15.3319,0.35567,6.2606,0.14523,11.6741,0.27082,6.2259,0.14443,0.5363,0.7964,1.1123,1.2308,0.9965,16.6503,0.356,7.0485,0.1507,10.6956,0.22868,7.6693,0.16398,0.659,0.8296,1.0745,1.0965,0.9911,15.8695,0.36336,6.493,0.14867,7.3969,0.16936,8.3958,0.19223,0.8778,0.8431,0.9443,0.9463,0.9647
sub-045,2,60,56,112.0,10.0,9.4521,0.50062,2.5164,0.13328,2.8795,0.15251,2.9436,0.1559,0.8739,0.7181,0.8799,1.3814,0.9922,7.7163,0.46913,2.3305,0.14169,2.9621,0.18009,2.6536,0.16133,0.7868,0.7114,0.8684,1.5033,0.9932,8.0695,0.42913,2.2586,0.12011,4.8901,0.26005,2.7513,0.14631,0.4619,0.7199,0.8916,1.5424,0.9949,8.0558,0.31319,2.9027,0.11285,10.002,0.38885,3.6533,0.14203,0.2902,0.7515,0.9464,1.553,0.9914,8.3509,0.44659,2.45,0.13103,4.0874,0.21859,2.8829,0.15418,0.5994,0.7268,0.8947,1.4747,0.9948,2,60,48,96.0,9.5,21.4746,0.62278,3.3156,0.09615,2.2467,0.06516,4.6052,0.13355,1.4757,0.656,0.9369,1.1886,0.9005,8.2733,0.51636,2.2069,0.13774,2.1704,0.13546,2.4179,0.15091,1.0168,0.7195,0.8121,1.3624,0.9946,9.3203,0.54562,2.0963,0.12272,2.8448,0.16654,2.1897,0.12819,0.7369,0.6727,0.94,1.5942,0.996,9.8518,0.47357,2.6223,0.12605,4.8578,0.23351,2.711,0.13031,0.5398,0.7027,0.9856,1.5865,0.9958,12.7433,0.56542,2.5897,0.11491,2.625,0.11647,3.106,0.13781,0.9866,0.6871,0.8783,1.2851,0.9793
sub-047,2,60,49,98.0,10.0,34.6015,0.56808,5.5913,0.0918,11.9092,0.19552,4.6853,0.07692,0.4695,0.6433,1.3094,1.432,0.9743,6.8527,0.2009,2.6629,0.07807,9.0974,0.26671,7.5417,0.2211,0.2927,0.9042,0.4092,0.6222,0.9018,6.5985,0.12289,3.4764,0.06474,34.2139,0.63719,6.074,0.11312,0.1016,0.7152,0.6724,1.0534,0.9893,7.617,0.1067,4.312,0.06041,48.8573,0.68442,6.8335,0.09573,0.0883,0.6802,0.7575,1.1161,0.9875,15.584,0.31232,3.8986,0.07813,18.4781,0.37032,6.3541,0.12734,0.211,0.773,0.7807,0.9088,0.934,2,60,42,84.0,11.0,15.748,0.48085,4.8175,0.1471,3.0762,0.09393,4.5068,0.13761,1.566,0.8018,1.0145,1.2124,0.9815,4.7153,0.15791,2.2054,0.07386,2.9644,0.09928,8.7877,0.29429,0.744,0.9741,0.1805,0.4198,0.7349,5.5128,0.26641,2.3173,0.11198,4.8814,0.2359,4.3028,0.20794,0.4747,0.886,0.4855,0.8556,0.9678,6.1559,0.31365,2.5538,0.13012,3.8589,0.19661,4.1524,0.21157,0.6618,0.8725,0.5664,0.9328,0.9889,8.4553,0.29988,3.081,0.10927,3.3807,0.1199,6.2398,0.22131,0.9113,0.9131,0.5834,0.8046,0.9358
sub-048,2,60,57,114.0,11.0,23.0738,0.28337,17.1651,0.21081,22.2721,0.27352,14.1657,0.17397,0.7707,0.8239,1.3507,1.3588,0.9972,14.7835,0.18576,20.5516,0.25824,21.9661,0.27601,16.5307,0.20772,0.9356,0.8601,1.1038,1.1244,0.9959,22.1847,0.16939,22.4709,0.17157,51.8517,0.39591,25.6245,0.19565,0.4334,0.8161,1.4348,1.4814,0.9871,35.6288,0.15569,31.529,0.13778,106.8017,0.46671,40.1041,0.17525,0.2952,0.7861,1.6328,1.4896,0.9879,21.0207,0.19823,21.1354,0.19931,36.8689,0.34768,20.0171,0.18876,0.5733,0.8329,1.3183,1.2975,0.9941,2,60,56,112.0,10.0,52.5608,0.58445,14.3034,0.15905,8.739,0.09717,10.9241,0.12147,1.6367,0.711,1.7807,1.6575,0.9957,13.7899,0.27212,9.3973,0.18544,9.4281,0.18605,12.9923,0.25638,0.9967,0.8802,0.9952,1.0323,0.9896,19.9723,0.29177,9.9178,0.14489,15.7394,0.22993,18.1399,0.265,0.6301,0.839,1.334,1.4644,0.9914,30.8226,0.31196,12.2797,0.12428,21.4449,0.21704,27.4296,0.27762,0.5726,0.8346,1.5008,1.4581,0.9924,28.9043,0.40449,11.364,0.15903,11.6024,0.16236,14.8746,0.20815,0.9795,0.8137,1.4255,1.3809,0.9965
sub-049,2,60,58,116.0,9.5,8.1505,0.21986,4.0651,0.10966,21.7355,0.58632,2.0799,0.05611,0.187,0.6788,0.9004,1.424,0.9978,4.9956,0.15623,3.5031,0.10955,19.6718,0.61521,2.4394,0.07629,0.1781,0.7106,0.6567,1.1787,0.9952,8.7802,0.09095,9.3393,0.09674,72.6655,0.75269,4.1597,0.04309,0.1285,0.6032,0.9882,1.4269,0.9964,13.0629,0.10191,13.8809,0.10829,92.0281,0.71796,5.9689,0.04657,0.1508,0.6246,1.0602,1.2298,0.9928,7.5221,0.13758,5.7966,0.10602,36.8135,0.67334,3.0101,0.05506,0.1575,0.6585,0.8662,1.3017,0.9968,2,60,51,102.0,9.5,7.7582,0.38464,3.237,0.16049,6.353,0.31497,1.7944,0.08897,0.5095,0.756,0.8916,1.4183,0.9931,4.6516,0.25349,2.5293,0.13784,7.2474,0.39495,2.4324,0.13255,0.349,0.8106,0.5545,1.068,0.9877,6.3802,0.20468,3.4374,0.11028,17.3408,0.5563,2.6126,0.08381,0.1982,0.7217,0.7949,1.3236,0.9966,7.3503,0.19694,4.0759,0.10921,19.4128,0.52014,3.8811,0.10399,0.21,0.758,0.7292,1.0663,0.9896,6.2028,0.2686,3.0715,0.133,9.908,0.42904,2.4394,0.10563,0.31,0.776,0.7338,1.2086,0.9931
sub-051,2,60,59,118.0,10.0,10.926,0.22856,4.0434,0.08458,27.2542,0.57012,3.6356,0.07605,0.1484,0.6812,0.8714,1.1848,0.982,5.5647,0.16297,4.1147,0.12051,19.5646,0.57299,3.43,0.10045,0.2103,0.7262,0.6838,1.1564,0.9966,7.342,0.08508,6.1032,0.07072,65.4816,0.75877,5.8615,0.06792,0.0932,0.6069,0.909,1.3702,0.9913,11.9536,0.06112,8.368,0.04278,163.3399,0.8351,9.1196,0.04663,0.0512,0.5327,1.1668,1.4453,0.9844,8.2887,0.12572,4.9037,0.07438,46.3966,0.70374,4.5474,0.06897,0.1057,0.637,0.8718,1.2471,0.9969,2,60,59,118.0,9.5,8.9834,0.47271,3.2781,0.1725,2.3425,0.12327,2.8311,0.14898,1.3994,0.7803,0.8395,1.2686,0.9862,4.8746,0.37467,2.5332,0.1947,2.0953,0.16105,2.2976,0.1766,1.209,0.8388,0.5623,1.1582,0.9936,5.1728,0.35399,2.3961,0.16397,4.3486,0.29759,1.9372,0.13257,0.551,0.7883,0.7955,1.5155,0.99,7.7755,0.31774,3.243,0.13252,9.497,0.38809,2.7928,0.11413,0.3415,0.7618,0.908,1.5125,0.9937,6.5631,0.39677,2.8354,0.17141,3.4146,0.20643,2.4755,0.14966,0.8304,0.8076,0.7533,1.2689,0.9974
sub-052,2,60,60,120.0,9.0,11.1015,0.39932,6.4396,0.23163,3.4196,0.123,4.3074,0.15494,1.8831,0.7946,0.9581,1.2288,0.9957,6.1816,0.32538,4.9871,0.26251,2.8639,0.15075,3.3516,0.17642,1.7414,0.8324,0.7791,1.2694,0.9733,5.8309,0.27225,4.5095,0.21056,4.938,0.23056,4.3609,0.20362,0.9132,0.848,0.752,1.2564,0.9859,8.1557,0.21772,7.2402,0.19328,11.8118,0.31532,7.3471,0.19614,0.613,0.8399,0.9192,1.2659,0.9891,7.9165,0.32449,5.6555,0.23181,4.4477,0.18231,4.2916,0.17591,1.2716,0.8296,0.8748,1.2606,0.9929,2,60,59,118.0,,9.9293,0.37236,6.2446,0.23418,2.1234,0.07963,5.1284,0.19232,2.9409,0.8384,0.7008,0.9623,0.991,5.3375,0.33677,4.632,0.29225,1.4454,0.0912,2.8993,0.18293,3.2046,0.8332,0.7036,1.2187,0.9818,5.0037,0.34776,3.3683,0.2341,1.722,0.11968,3.0074,0.20901,1.9561,0.8357,0.6816,1.2758,0.9898,6.8119,0.33293,4.5801,0.22385,2.6277,0.12843,4.5138,0.22061,1.743,0.8425,0.8042,1.2584,0.9901,6.9098,0.35254,4.9517,0.25264,1.8439,0.09408,3.8129,0.19453,2.6854,0.8396,0.7767,1.1477,0.9903
sub-054,2,60,59,118.0,10.0,8.665,0.37206,2.7746,0.11914,4.3445,0.18655,5.6262,0.24158,0.6387,0.8018,0.7626,1.1378,0.9821,5.1419,0.20448,2.5147,0.1,4.6972,0.18679,8.7637,0.3485,0.5354,0.9309,0.4081,0.7036,0.969,4.6957,0.19011,2.4148,0.09777,8.7231,0.35316,7.2299,0.29271,0.2768,0.8433,0.6312,1.1852,0.9852,5.1276,0.1127,2.9726,0.06533,27.6091,0.60681,8.003,0.17589,0.1077,0.7261,0.7076,1.2211,0.9805,6.1783,0.22843,2.6391,0.09757,8.0171,0.29641,7.4724,0.27627,0.3292,0.8651,0.5796,0.9244,0.987,2,60,39,78.0,,24.4023,0.67687,5.2031,0.14432,1.5552,0.04314,3.714,0.10302,3.3457,0.6556,1.36,1.68,0.9866,6.211,0.3651,2.4567,0.14441,1.7125,0.10067,4.8737,0.28649,1.4345,0.8658,0.6506,1.0899,0.9947,6.9703,0.44055,2.3086,0.14591,1.7265,0.10913,3.8327,0.24225,1.3371,0.806,0.8317,1.4154,0.9908,8.8729,0.4773,2.8661,0.15417,2.107,0.11334,3.6465,0.19616,1.3602,0.785,0.9165,1.4273,0.9938,12.3353,0.53651,3.3453,0.1455,1.7146,0.07458,4.2115,0.18318,1.951,0.759,0.9303,1.3464,0.9973
sub-055,2,60,53,106.0,10.5,12.2951,0.48494,3.762,0.14838,4.3999,0.17354,3.0901,0.12188,0.855,0.7327,1.002,1.3724,0.9955,7.5064,0.38836,2.9278,0.15147,3.8816,0.20082,3.2167,0.16642,0.7543,0.8096,0.7734,1.2201,0.9973,7.4197,0.3109,3.3759,0.14146,7.5862,0.31787,3.6981,0.15496,0.445,0.8006,0.8433,1.3196,0.997,7.3719,0.27307,3.3451,0.12391,9.1278,0.33811,4.5433,0.16829,0.3665,0.8245,0.7221,1.0864,0.9955,8.9739,0.39346,3.3036,0.14485,5.2203,0.22888,3.4107,0.14954,0.6328,0.7887,0.8422,1.2461,0.9944,2,60,39,78.0,10.5,30.7376,0.6528,6.5456,0.13902,3.3411,0.07096,3.8128,0.08098,1.9591,0.6339,1.4699,1.639,0.9974,11.0102,0.49343,3.2541,0.14583,3.1072,0.13925,3.1524,0.14128,1.0473,0.7488,0.9084,1.2984,0.992,10.8151,0.42773,3.8325,0.15158,5.0728,0.20063,3.6927,0.14604,0.7555,0.7636,1.0108,1.4171,0.9971,13.3574,0.43362,4.6002,0.14934,5.7435,0.18645,4.4931,0.14586,0.801,0.7585,1.0493,1.3409,0.9929,17.441,0.55309,4.5323,0.14373,3.7863,0.12007,3.6023,0.11424,1.197,0.7026,1.1775,1.459,0.995
sub-057,2,60,59,118.0,10.5,32.1081,0.32617,15.2173,0.15458,30.9095,0.31399,13.1492,0.13357,0.4923,0.7801,1.4406,1.2969,0.9922,11.175,0.19032,10.453,0.17802,24.5561,0.41821,8.2331,0.14022,0.4257,0.8116,1.0085,1.102,0.9479,16.4957,0.10956,12.9907,0.08628,95.5336,0.63452,16.652,0.1106,0.136,0.7104,1.273,1.2444,0.9652,16.8423,0.13302,13.5654,0.10714,72.8197,0.57513,15.5864,0.1231,0.1863,0.7435,1.1666,1.1109,0.9855,19.1732,0.2072,12.6877,0.13712,42.5557,0.4599,11.8725,0.1283,0.2981,0.78,1.2676,1.2383,0.988,2,60,43,86.0,10.5,13.8732,0.23498,10.8426,0.18365,21.539,0.36481,8.3828,0.14198,0.5034,0.8183,1.062,1.1407,0.9886,10.0027,0.2135,8.3288,0.17777,19.3923,0.41391,6.1993,0.13232,0.4295,0.8094,0.9746,1.1721,0.9818,12.1205,0.11468,10.2299,0.09679,67.4663,0.63834,10.9467,0.10357,0.1516,0.7024,1.1419,1.2268,0.9636,11.0818,0.14266,9.6788,0.1246,42.9716,0.55318,9.1648,0.11798,0.2252,0.7524,0.9874,1.07,0.982,11.6449,0.18546,9.5504,0.15211,29.7709,0.47415,7.9199,0.12614,0.3208,0.7866,1.0377,1.1513,0.9853
sub-058,2,60,42,84.0,8.5,43.7507,0.39951,30.2333,0.27607,18.6601,0.17039,14.0112,0.12794,1.6202,0.727,1.7401,1.6912,0.9949,22.2293,0.28356,26.1723,0.33385,16.8847,0.21538,10.5785,0.13494,1.5501,0.784,1.3969,1.5194,0.9962,28.6044,0.24589,38.7948,0.33349,34.8072,0.29921,10.6069,0.09118,1.1146,0.7677,1.4821,1.4777,0.9924,30.6405,0.27613,37.4859,0.33782,27.0913,0.24415,11.4329,0.10303,1.3837,0.7826,1.4976,1.4266,0.9945,30.9026,0.31687,30.6306,0.31408,21.2357,0.21775,11.762,0.12061,1.4424,0.766,1.5464,1.5678,0.9968,2,60,12,24.0,8.0,28.0412,0.30821,21.3965,0.23517,13.3942,0.14722,21.2588,0.23366,1.5974,0.8374,1.3243,1.1162,0.9711,16.0825,0.23799,18.9384,0.28025,16.0039,0.23683,12.8681,0.19042,1.1834,0.8348,1.1539,1.2094,0.9912,18.6578,0.22902,23.4683,0.28807,20.6656,0.25367,13.5067,0.16579,1.1356,0.833,1.1933,1.1478,0.991,22.3335,0.26224,21.3547,0.25075,14.5814,0.17122,17.1432,0.2013,1.4645,0.8744,1.1632,0.9389,0.9615,20.9631,0.26521,20.6456,0.2612,15.6661,0.1982,16.1144,0.20387,1.3179,0.8455,1.2271,1.1165,0.9922
sub-065,2,60,58,116.0,11.0,6.072,0.25698,2.7078,0.1146,4.2396,0.17943,8.4889,0.35927,0.6387,0.8527,0.6841,1.182,0.9767,3.2422,0.18841,2.2701,0.13192,3.7296,0.21674,6.1988,0.36022,0.6087,0.8977,0.4585,1.0689,0.9811,3.1558,0.15493,2.4338,0.11948,6.2511,0.30688,6.2794,0.30827,0.3893,0.8747,0.4996,1.1264,0.9803,3.6199,0.17268,2.929,0.13972,6.3611,0.30344,6.0475,0.28848,0.4605,0.8772,0.5889,1.1627,0.9696,4.1616,0.20675,2.5123,0.12481,4.5725,0.22717,6.9069,0.34314,0.5494,0.8798,0.5653,1.138,0.9811,2,60,48,96.0,11.0,17.8393,0.51713,4.2902,0.12437,2.1867,0.06339,7.4104,0.21482,1.962,0.7495,0.7429,1.0128,0.9834,4.3908,0.2933,1.8439,0.12317,1.6675,0.11139,5.0955,0.34038,1.1058,0.8861,0.3936,0.8965,0.9746,5.1328,0.31267,2.0032,0.12203,1.9703,0.12002,5.2116,0.31747,1.0167,0.8755,0.4803,0.9588,0.9758,6.3021,0.36688,2.4457,0.14238,2.2717,0.13224,4.5315,0.2638,1.0766,0.8402,0.6845,1.1592,0.9928,8.9367,0.41467,2.706,0.12556,1.9478,0.09038,5.7648,0.26749,1.3892,0.817,0.6126,1.0065,0.9779
sub-068,2,60,46,92.0,11.5,11.8719,0.20576,5.0322,0.08722,22.7087,0.39359,10.1076,0.17519,0.2216,0.8316,0.7216,0.7501,0.9522,4.4025,0.09686,3.815,0.08394,21.9253,0.4824,9.4577,0.20809,0.174,0.83,0.4764,0.7646,0.9852,5.3983,0.06519,4.4409,0.05363,50.345,0.60796,13.938,0.16831,0.0882,0.7335,0.6121,0.9401,0.9874,5.909,0.08378,4.7777,0.06774,38.6376,0.5478,13.7902,0.19552,0.1237,0.778,0.5563,0.7654,0.9874,7.065,0.12252,4.4037,0.07637,28.2557,0.48999,10.8324,0.18785,0.1559,0.8136,0.6245,0.781,0.9752,2,60,16,32.0,12.5,29.4062,0.50709,10.8306,0.18677,8.4927,0.14645,5.4614,0.09418,1.2753,0.7116,1.4427,1.534,0.9947,6.4994,0.23184,3.8289,0.13658,8.2241,0.29337,5.5609,0.19837,0.4656,0.8428,0.7079,1.0715,0.9885,6.733,0.21625,4.1087,0.13196,9.8823,0.3174,5.7929,0.18606,0.4158,0.8159,0.8014,1.2466,0.9913,10.2035,0.30721,5.2977,0.15951,7.4385,0.22396,6.4886,0.19536,0.7122,0.8412,0.8698,1.0762,0.9855,14.1536,0.36783,6.2399,0.16217,8.443,0.21942,5.6784,0.14757,0.7391,0.7902,1.0885,1.2765,0.9862
