cohort,session,variable,n_in_cohort,n_nonnull,n_missing,pct_missing
ds003522_eeg,1,NSItotal,96,69,27,28.1
ds003522_eeg,1,NSIsoma,96,69,27,28.1
ds003522_eeg,1,NSIcog,96,69,27,28.1
ds003522_eeg,1,NSIemo,96,69,27,28.1
ds003522_eeg,1,RivermeadTotal,96,43,53,55.2
ds003522_eeg,1,BDItotal,96,70,26,27.1
ds003522_eeg,1,GCS_S1,96,36,60,62.5
ds003522_eeg,1,DurationLOC_InMinutes_S1,96,43,53,55.2
ds003522_eeg,1,age,96,96,0,0.0
ds003522_eeg,1,sex,96,96,0,0.0
ds003522_eeg,1,group_code,96,96,0,0.0
ds005114_eeg,1,NSItotal,91,89,2,2.2
ds005114_eeg,1,NSIsoma,91,89,2,2.2
ds005114_eeg,1,NSIcog,91,89,2,2.2
ds005114_eeg,1,NSIemo,91,89,2,2.2
ds005114_eeg,1,RivermeadTotal,91,56,35,38.5
ds005114_eeg,1,BDItotal,91,90,1,1.1
ds005114_eeg,1,GCS_S1,91,45,46,50.5
ds005114_eeg,1,DurationLOC_InMinutes_S1,91,57,34,37.4
ds005114_eeg,1,age,91,91,0,0.0
ds005114_eeg,1,sex,91,91,0,0.0
ds005114_eeg,1,group_code,91,91,0,0.0
ds003523_eeg,1,NSItotal,91,89,2,2.2
ds003523_eeg,1,NSIsoma,91,89,2,2.2
ds003523_eeg,1,NSIcog,91,89,2,2.2
ds003523_eeg,1,NSIemo,91,89,2,2.2
ds003523_eeg,1,RivermeadTotal,91,56,35,38.5
ds003523_eeg,1,BDItotal,91,90,1,1.1
ds003523_eeg,1,GCS_S1,91,45,46,50.5
ds003523_eeg,1,DurationLOC_InMinutes_S1,91,57,34,37.4
ds003523_eeg,1,age,91,91,0,0.0
ds003523_eeg,1,sex,91,91,0,0.0
ds003523_eeg,1,group_code,91,91,0,0.0
all_subjects,1,NSItotal,116,89,27,23.3
all_subjects,1,NSIsoma,116,89,27,23.3
all_subjects,1,NSIcog,116,89,27,23.3
all_subjects,1,NSIemo,116,89,27,23.3
all_subjects,1,RivermeadTotal,116,56,60,51.7
all_subjects,1,BDItotal,116,90,26,22.4
all_subjects,1,GCS_S1,116,45,71,61.2
all_subjects,1,DurationLOC_InMinutes_S1,116,57,59,50.9
all_subjects,1,age,116,116,0,0.0
all_subjects,1,sex,116,116,0,0.0
all_subjects,1,group_code,116,116,0,0.0
ds003522_eeg,2,NSItotal,59,59,0,0.0
ds003522_eeg,2,NSIsoma,59,59,0,0.0
ds003522_eeg,2,NSIcog,59,59,0,0.0
ds003522_eeg,2,NSIemo,59,59,0,0.0
ds003522_eeg,2,RivermeadTotal,59,33,26,44.1
ds003522_eeg,2,BDItotal,59,59,0,0.0
ds005114_eeg,2,NSItotal,75,75,0,0.0
ds005114_eeg,2,NSIsoma,75,75,0,0.0
ds005114_eeg,2,NSIcog,75,75,0,0.0
ds005114_eeg,2,NSIemo,75,75,0,0.0
ds005114_eeg,2,RivermeadTotal,75,43,32,42.7
ds005114_eeg,2,BDItotal,75,75,0,0.0
ds003523_eeg,2,NSItotal,74,74,0,0.0
ds003523_eeg,2,NSIsoma,74,74,0,0.0
ds003523_eeg,2,NSIcog,74,74,0,0.0
ds003523_eeg,2,NSIemo,74,74,0,0.0
ds003523_eeg,2,RivermeadTotal,74,43,31,41.9
ds003523_eeg,2,BDItotal,74,74,0,0.0
all_subjects,2,NSItotal,116,76,40,34.5
all_subjects,2,NSIsoma,116,76,40,34.5
all_subjects,2,NSIcog,116,76,40,34.5
all_subjects,2,NSIemo,116,76,40,34.5
all_subjects,2,RivermeadTotal,116,44,72,62.1
all_subjects,2,BDItotal,116,76,40,34.5
ds003522_eeg,3,NSItotal,45,45,0,0.0
ds003522_eeg,3,NSIsoma,45,45,0,0.0
ds003522_eeg,3,NSIcog,45,45,0,0.0
ds003522_eeg,3,NSIemo,45,45,0,0.0
ds003522_eeg,3,RivermeadTotal,45,21,24,53.3
ds003522_eeg,3,BDItotal,45,45,0,0.0
ds005114_eeg,3,NSItotal,57,57,0,0.0
ds005114_eeg,3,NSIsoma,57,57,0,0.0
ds005114_eeg,3,NSIcog,57,57,0,0.0
ds005114_eeg,3,NSIemo,57,57,0,0.0
ds005114_eeg,3,RivermeadTotal,57,28,29,50.9
ds005114_eeg,3,BDItotal,57,57,0,0.0
ds003523_eeg,3,NSItotal,56,56,0,0.0
ds003523_eeg,3,NSIsoma,56,56,0,0.0
ds003523_eeg,3,NSIcog,56,56,0,0.0
ds003523_eeg,3,NSIemo,56,56,0,0.0
ds003523_eeg,3,RivermeadTotal,56,28,28,50.0
ds003523_eeg,3,BDItotal,56,56,0,0.0
all_subjects,3,NSItotal,116,61,55,47.4
all_subjects,3,NSIsoma,116,61,55,47.4
all_subjects,3,NSIcog,116,61,55,47.4
all_subjects,3,NSIemo,116,61,55,47.4
all_subjects,3,RivermeadTotal,116,30,86,74.1
all_subjects,3,BDItotal,116,61,55,47.4
