subject,n_bad_channels,bad_channels,reference,bad_channel_detection_after_reference
sub-005,0,,average,True
sub-006,0,,average,True
sub-009,0,,average,True
sub-013,2,CP1;CP2,average,True
sub-017,1,Fp2,average,True
sub-020,0,,average,True
sub-021,0,,average,True
sub-029,0,,average,True
sub-030,0,,average,True
sub-036,3,Fp2;AF7;AF8,average,True
sub-037,0,,average,True
sub-039,0,,average,True
sub-040,0,,average,True
sub-045,1,AF7,average,True
sub-047,1,Fp1,average,True
sub-048,1,TP7,average,True
sub-049,0,,average,True
sub-051,0,,average,True
sub-052,0,,average,True
sub-054,0,,average,True
sub-055,0,,average,True
sub-057,0,,average,True
sub-058,0,,average,True
sub-065,0,,average,True
sub-068,0,,average,True
