n,r2_oof,mae,rmse,hypothesis,outcome,model,predictors
19,-0.1872150520139726,12.415001845647476,15.798670443345246,H2,S3_Rivermead_Total,H2_baseline_age_sex,2
19,-0.26989637079348805,13.594896270366913,16.33954594399112,H2,S3_Rivermead_Total,H2_primary_parsimonious,5
19,-0.1960727435589893,12.501691729323309,15.85749706430584,H2,S3_Rivermead_Total,H2_secondary_elasticnet,10
21,-0.5355362021254779,17.705731626981553,22.017647183031766,H3,S1_to_S3_NSI_Change,H3_baseline_age_sex,2
21,-0.9668857944802454,19.119949582962338,24.918990819291672,H3,S1_to_S3_NSI_Change,H3_primary_parsimonious,5
21,-0.04415809759052802,14.383928571428571,18.15616030805617,H3,S1_to_S3_NSI_Change,H3_secondary_elasticnet,10
19,0.02969609168210441,7.576389585622807,8.967400536368006,H4,S1_to_S3_Rivermead_Change,H4_baseline_age_sex,2
19,0.24822513123392265,7.197057688323877,7.893263112227177,H4,S1_to_S3_Rivermead_Change,H4_primary_parsimonious,5
19,0.07573564755425721,7.758561406260213,8.752069940595428,H4,S1_to_S3_Rivermead_Change,H4_secondary_elasticnet,10
