subject,rest_EC_frontal_aper_r2,rest_EC_central_aper_r2,rest_EC_parietal_aper_r2,rest_EC_occipital_aper_r2,rest_EC_global_aper_r2,rest_EO_frontal_aper_r2,rest_EO_central_aper_r2,rest_EO_parietal_aper_r2,rest_EO_occipital_aper_r2,rest_EO_global_aper_r2,min_fit_r2,median_fit_r2
sub-005,0.9978,0.995,0.9892,0.9959,0.9963,0.9929,0.9882,0.9915,0.9929,0.9953,0.9882,0.99395
sub-006,0.9957,0.9957,0.9952,0.9941,0.9975,0.9959,0.9922,0.9905,0.9901,0.9935,0.9901,0.99465
sub-009,0.9298,0.8708,0.9959,0.9642,0.9202,0.9873,0.9341,0.9922,0.9886,0.9775,0.8708,0.97085
sub-013,0.9957,0.9875,0.9865,0.9875,0.9935,0.9971,0.9974,0.9955,0.9964,0.9984,0.9865,0.9956
sub-017,0.9953,0.9947,0.9933,0.9886,0.9903,0.9794,0.9962,0.9959,0.9886,0.987,0.9794,0.9918
sub-020,0.9937,0.9966,0.9885,0.9858,0.9933,0.9506,0.9747,0.9944,0.9557,0.9801,0.9506,0.98715
sub-021,0.9607,0.9493,0.9951,0.9943,0.9907,0.9105,0.9123,0.9966,0.994,0.9303,0.9105,0.9757
sub-029,0.9937,0.9899,0.9944,0.985,0.9957,0.9944,0.9843,0.9962,0.995,0.9877,0.9843,0.99405
sub-030,0.9922,0.9928,0.9955,0.9925,0.995,0.9905,0.9935,0.9949,0.9889,0.9888,0.9888,0.99265
sub-036,0.9891,0.9929,0.9941,0.9887,0.9939,0.9763,0.9923,0.9957,0.9648,0.9915,0.9648,0.9919
sub-037,0.9964,0.9443,0.9872,0.9765,0.9731,0.9926,0.9876,0.9901,0.99,0.9908,0.9443,0.9888
sub-039,0.9955,0.99,0.996,0.9934,0.997,0.9593,0.9835,0.9966,0.9978,0.9826,0.9593,0.9944500000000001
sub-040,0.971,0.989,0.9915,0.9912,0.9889,0.8768,0.9788,0.9965,0.9911,0.9647,0.8768,0.98895
sub-045,0.9922,0.9932,0.9949,0.9914,0.9948,0.9005,0.9946,0.996,0.9958,0.9793,0.9005,0.9939
sub-047,0.9743,0.9018,0.9893,0.9875,0.934,0.9815,0.7349,0.9678,0.9889,0.9358,0.7349,0.97105
sub-048,0.9972,0.9959,0.9871,0.9879,0.9941,0.9957,0.9896,0.9914,0.9924,0.9965,0.9871,0.99325
sub-049,0.9978,0.9952,0.9964,0.9928,0.9968,0.9931,0.9877,0.9966,0.9896,0.9931,0.9877,0.99415
sub-051,0.982,0.9966,0.9913,0.9844,0.9969,0.9862,0.9936,0.99,0.9937,0.9974,0.982,0.99245
sub-052,0.9957,0.9733,0.9859,0.9891,0.9929,0.991,0.9818,0.9898,0.9901,0.9903,0.9733,0.98995
sub-054,0.9821,0.969,0.9852,0.9805,0.987,0.9866,0.9947,0.9908,0.9938,0.9973,0.969,0.9868
sub-055,0.9955,0.9973,0.997,0.9955,0.9944,0.9974,0.992,0.9971,0.9929,0.995,0.992,0.9955
sub-057,0.9922,0.9479,0.9652,0.9855,0.988,0.9886,0.9818,0.9636,0.982,0.9853,0.9479,0.9836499999999999
sub-058,0.9949,0.9962,0.9924,0.9945,0.9968,0.9711,0.9912,0.991,0.9615,0.9922,0.9615,0.9923
sub-065,0.9767,0.9811,0.9803,0.9696,0.9811,0.9834,0.9746,0.9758,0.9928,0.9779,0.9696,0.9791
sub-068,0.9522,0.9852,0.9874,0.9874,0.9752,0.9947,0.9885,0.9913,0.9855,0.9862,0.9522,0.9868
