fit_column,n,min,max,mean,median,iqr,count_below_0_90,count_below_0_80
rest_EC_frontal_aper_r2,25,0.9298,0.9978,0.9855759999999999,0.9937,0.013700000000000045,0,0
rest_EC_central_aper_r2,25,0.8708,0.9973,0.9768479999999999,0.99,0.02189999999999992,1,0
rest_EC_parietal_aper_r2,25,0.9652,0.997,0.9901920000000001,0.9915,0.007900000000000018,0,0
rest_EC_occipital_aper_r2,25,0.9642,0.9959,0.987352,0.9886,0.007299999999999973,0,0
rest_EC_global_aper_r2,25,0.9202,0.9975,0.9862960000000001,0.9935,0.00770000000000004,0,0
rest_EO_frontal_aper_r2,25,0.8768,0.9974,0.9749360000000001,0.9873,0.016800000000000037,1,0
rest_EO_central_aper_r2,25,0.7349,0.9974,0.972804,0.9882,0.010499999999999954,1,1
rest_EO_parietal_aper_r2,25,0.9636,0.9971,0.990712,0.9922,0.005499999999999949,0,0
rest_EO_occipital_aper_r2,25,0.9557,0.9978,0.987716,0.9901,0.005099999999999993,0,0
rest_EO_global_aper_r2,25,0.9303,0.9984,0.98378,0.9888,0.013400000000000079,0,0
